"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
41,"16:07:29",0.668,6.406,0.621,-12.958,1.905,15.753,6.675,0.200,4.323,3.411
180,"16:07:29",1.635,1.086,6.530,-11.803,3.044,15.652,7.028,0.033,8.318,7.422
164,"16:07:29",3.799,3.689,0.032,-12.674,9.473,11.280,8.405,7.915,5.201,2.467
20,"16:07:29",6.190,2.561,6.015,-9.798,7.410,14.386,3.892,0.391,5.193,0.988
81,"16:07:29",4.296,6.468,1.867,-10.455,4.612,18.469,6.082,5.825,6.100,8.200
192,"16:07:29",8.924,0.580,8.371,-9.383,3.901,18.916,5.406,8.994,7.178,7.696
135,"16:07:29",0.545,5.100,9.802,-7.583,5.724,11.164,9.090,1.292,4.261,5.311
80,"16:07:29",9.330,4.864,6.219,-9.764,3.706,10.985,3.138,2.931,8.584,3.223
14,"16:07:29",0.015,3.985,1.084,-7.762,0.268,18.796,6.946,1.797,3.889,1.663
68,"16:07:29",5.375,5.174,0.434,-12.383,0.704,18.646,7.888,6.702,0.008,3.276
