"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
93,"16:07:31",1.323,0.785,1.562,-9.380,5.491,14.447,4.345,0.588,0.943,4.102
139,"16:07:31",1.789,8.754,7.867,-13.453,6.780,17.431,5.637,6.956,8.857,9.261
149,"16:07:31",2.005,8.933,5.281,-11.725,4.195,17.844,1.058,3.044,5.022,9.773
70,"16:07:31",1.257,5.591,7.469,-7.166,5.104,19.841,2.621,5.720,4.748,5.743
170,"16:07:31",4.026,4.421,0.051,-9.244,2.705,18.559,6.408,2.205,5.833,8.079
8,"16:07:31",0.399,0.594,6.054,-13.842,2.178,19.511,4.695,7.814,8.179,2.927
71,"16:07:31",0.863,8.869,7.167,-14.992,0.449,15.672,9.079,9.063,8.925,1.437
197,"16:07:31",6.249,3.106,3.049,-14.378,2.014,11.732,2.496,8.675,2.151,6.298
74,"16:07:31",0.704,3.954,0.191,-12.796,1.359,16.611,9.443,8.638,7.084,5.918
92,"16:07:31",0.867,5.234,8.720,-11.845,4.900,17.404,2.686,0.320,6.359,1.016
