"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
142,"15:39:21",7.557,0.375,6.508,4.806,5.382,8.137,3.160,2.451,7.628,9.834
181,"15:39:21",1.690,9.030,8.233,8.034,0.321,3.726,1.260,6.735,3.761,5.054
150,"15:39:21",7.583,7.786,9.826,3.125,4.411,0.686,9.466,9.706,6.490,5.550
57,"15:39:21",9.543,4.927,9.077,5.208,3.553,1.042,7.268,1.959,1.081,7.355
179,"15:39:21",1.882,4.030,4.434,4.219,4.067,2.122,1.073,0.549,1.581,9.873
79,"15:39:21",4.040,8.644,4.052,0.476,8.663,6.780,5.560,5.253,1.760,3.335
74,"15:39:21",2.698,3.975,3.791,2.724,8.255,6.209,8.241,2.193,7.931,4.598
13,"15:39:21",9.161,8.941,1.520,1.160,1.845,1.294,4.692,4.786,8.412,8.430
76,"15:39:21",8.501,9.640,4.594,8.058,8.892,3.147,9.490,8.168,7.013,0.417
152,"15:39:21",0.328,4.541,7.164,0.945,8.949,6.939,8.193,3.179,9.940,0.874
