"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
138,"15:39:54",7.292,5.662,8.74,1.229,0.085,1.126,5.299,4.487,0.215,6.863
2,"15:39:54",1.836,6.262,2.942,1.385,0.777,6.627,7.131,0.651,8.402,7.766
163,"15:39:54",1.89,9.101,4.186,3.545,2.467,7.964,6.491,1.913,8.885,9.776
145,"15:39:54",9.597,5.307,2.904,4.162,6.811,5.18,7.365,4.586,7.115,9.101
169,"15:39:54",2.156,0.111,7.829,3.377,9.098,5.516,4.459,5.131,0.335,5.672
82,"15:39:54",6.367,3.734,8.634,2.569,6.746,7.781,2.997,3.783,4.868,8.045
122,"15:39:54",7.6,2.363,9.404,9.238,5.853,6.548,3.152,9.278,7.85,3.692
177,"15:39:54",9.884,0.441,5.077,8.083,8.298,0.701,9.735,4.791,6.859,8.412
58,"15:39:54",9.2,1.832,8.619,3.024,6.267,3.29,2.343,5.71,0.444,7.075
92,"15:39:54",4.386,5.244,3.881,7.607,1.777,8.935,5.304,3.81,9.25,7.287
