"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
130,"15:39:42",5.29,1.075,4.465,4.924,9.653,0.815,8.485,6.5,3.38,0.324
31,"15:39:42",2.654,0.68,0.057,2.526,7.043,2.372,8.283,4.472,1.879,9.178
99,"15:39:42",8.301,3.653,2.494,6.833,2.061,3.671,2.17,4.138,3.811,7.358
155,"15:39:42",5.307,5.392,4.218,2.515,9.494,2.185,5.218,5.178,0.76,7.241
75,"15:39:42",1.783,1.119,1.529,9.035,9.24,6.537,2.463,9.723,0.809,1.314
8,"15:39:42",8.31,7.576,1.662,9.596,3.024,5.756,7.128,5.24,3.417
179,"15:39:42",1.438,2.507,1.882,0.834,5.863,2.107,5.56,7.876,3.252,2.658
115,"15:39:42",3.251,1.25,8.97,5.256,2.736,2.501,7.493,5.816,0.705,0.586
66,"15:39:42",0.335,5.631,7.928,6.328,9.642,7.055,1.353,9.367,8.66,7.035
49,"15:39:42",7.492,3.062,0.171,3.71,7.753,3.903,3.563,8.394,7.846,9.142
