"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
142,"16:07:27",0.013,2.026,9.680,-16.535,8.319,17.059,9.004,9.811,7.704,2.719
68,"16:07:27",1.481,3.418,5.193,-10.152,9.309,13.872,8.419,3.109,7.780,5.582
179,"16:07:27",5.592,8.445,4.783,-13.624,4.751,14.715,5.752,2.787,5.380,5.160
170,"16:07:27",1.123,9.530,4.561,-12.431,9.715,18.932,5.164,5.061,5.638,6.232
145,"16:07:27",4.565,8.515,3.683,-11.666,6.519,18.378,5.756,9.444,6.367,8.320
176,"16:07:27",7.449,0.566,0.689,-14.925,5.625,18.321,6.117,0.175,6.176,2.466
152,"16:07:27",0.228,1.331,2.437,-10.174,1.000,16.655,9.101,3.520,9.597,9.184
163,"16:07:27",2.410,6.623,9.389,-15.150,5.398,10.239,3.779,7.187,5.018,0.149
154,"16:07:27",9.325,4.015,1.977,-12.728,9.176,10.981,4.449,4.956,0.694,7.408
91,"16:07:27",9.884,5.114,2.148,-12.920,6.507,19.888,3.089,3.084,3.657,5.536
