"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
90,"16:07:25",9.357,7.647,8.739,-10.112,4.733,18.365,1.335,9.423,1.085,2.028
109,"16:07:25",1.327,5.750,3.857,-8.502,5.573,12.093,9.810,6.186,7.241,3.743
194,"16:07:25",7.386,3.201,9.534,-14.573,0.030,18.150,3.100,7.659,5.559,7.853
120,"16:07:25",6.056,6.500,3.108,-15.064,2.021,13.478,6.436,9.731,6.084,1.477
56,"16:07:25",4.835,0.562,5.498,-12.877,8.425,18.288,5.430,3.063,6.634,8.441
7,"16:07:25",5.974,0.552,3.006,-10.467,7.349,17.726,6.828,1.355,5.174,7.236
16,"16:07:25",9.911,7.562,5.072,-12.765,6.275,12.147,9.112,5.749,4.933,3.058
46,"16:07:25",5.490,8.381,2.559,-10.537,7.090,19.493,4.421,1.442,1.451,7.074
47,"16:07:25",8.636,4.045,2.870,-7.694,8.084,13.167,1.952,8.115,7.498,3.153
67,"16:07:25",4.392,5.054,3.862,-13.458,2.311,11.130,8.291,9.466,7.306,7.796
