"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
91,"15:39:48",5.977,5.079,0.442,8.13,7.03,7.866,7.284,2.56,0.223,7.617
57,"15:39:48",6.129,1.931,9.09,0.122,7.833,2.71,8.079,2.183,0.631,5.49
115,"15:39:48",9.643,1.948,1.883,1.171,7.102,0.033,6.502,9.716,3.263,1.291
184,"15:39:48",0.628,2.691,6.391,6.498,3.474,9.327,3.45,6.251,6.701,2.858
79,"15:39:48",5.717,1.733,3.05,2.424,3.018,7.221,0.949,1.552,8.239,4.645
21,"15:39:48",7.655,1.873,3.906,5.014,3.708,6.991,3.193,8.446,7.75,9.579
36,"15:39:48",6.814,7.164,9.269,5.251,2.273,3.233,9.394,0.459,3.032,3.985
58,"15:39:48",3.711,0.18,0.393,4.193,0.225,3.319,7.718,4.959,4.826,8.756
86,"15:39:48",2.354,2.537,6.791,7.759,1.479,1.891,2.795,2.544,2.938,8.162
166,"15:39:48",7.715,5.82,8.028,5.48,2.032,3.539,1.863,8.771,9.828,2.383
