batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
106,15:58:59,3.555,9.714,0.693,1.832,7.493,8.819,0.814,1.176,6.4,7.093
187,15:58:59,2.374,5.666,5.635,6.019,0.503,1.871,1.802,4.581,0.982,8.401
168,15:58:59,1.162,6.479,1.522,2.257,5.455,7.285,1.949,0.222,0.91,9.239
94,15:58:59,4.075,9.816,5.317,5.864,5.403,3.566,8.194,1.267,8.761,8.338
2,15:58:59,3.057,8.421,4.906,7.667,0.881,5.402,2.993,8.757,4.225,8.919
121,15:58:59,2.804,6.974,9.246,4.499,3.432,7.204,6.732,9.996,1.749,3.973
119,15:58:59,9.62,3.978,1.742,8.746,0.979,1.563,1.855,9.574,4.967,3.07
174,15:58:59,4.824,3.252,4.515,3.718,5.194,0.735,6.759,8.148,9.113,9.251
167,15:58:59,4.32,1.736,8.744,2.945,1.89,6.035,0.215,7.395,9.074,6.63
97,15:58:59,4.976,9.876,7.538,7.548,0.624,5.369,4.342,4.133,0.556,9.624
