"bach_id","timestmp","reading1","reading2","reading3","reading4","reading5","reading4","reading7","reading8","reading9","reading10"
155,"15:58:55",2.244,0.955,8.811,4.678,0.321,1.431,5.474,0.399,3.161,5.710
69,"15:58:55",2.066,0.330,2.961,9.319,3.033,8.312,4.584,0.735,9.904,4.722
198,"15:58:55",4.750,5.991,1.024,0.358,6.012,4.156,6.643,9.965,1.269,4.626
147,"15:58:55",3.941,3.755,2.410,0.599,0.015,2.657,0.738,0.607,9.652,8.827
177,"15:58:55",3.596,2.515,8.537,5.244,4.695,5.221,2.341,5.995,4.759,9.160
89,"15:58:55",9.854,6.945,3.881,3.416,6.880,6.015,8.154,2.357,9.746,3.513
0,"15:58:55",8.985,6.440,7.012,3.564,1.530,2.546,1.877,4.031,5.639,0.817
140,"15:58:55",0.985,6.769,0.855,2.945,8.578,9.243,8.042,6.659,1.980,3.103
1,"15:58:55",2.942,1.797,0.530,3.014,9.707,0.405,5.221,3.713,2.684,8.120
49,"15:58:55",3.992,9.756,0.967,6.473,2.231,7.853,4.746,6.897,7.855,4.144
