"bach_id","timestmp","reading1","reading2","reading3","reading4","reading5","reading4","reading7","reading8","reading9","reading10"
4,"15:58:51",0.934,2.197,6.930,7.523,3.149,4.044,0.134,9.623,9.923,4.327
151,"15:58:51",1.758,4.993,0.288,2.620,5.562,4.753,7.367,6.888,8.827,1.044
28,"15:58:51",8.337,5.503,0.526,8.459,6.569,1.026,1.338,9.709,1.627,0.012
47,"15:58:51",3.807,7.694,9.502,5.334,4.627,1.749,3.281,9.948,0.543,9.316
199,"15:58:51",4.136,6.609,2.169,2.822,8.509,5.040,1.689,3.234,5.294,9.401
57,"15:58:51",6.904,6.917,8.515,2.333,0.327,4.825,9.577,4.718,7.743,3.052
128,"15:58:51",8.351,8.902,2.282,8.382,2.081,3.530,1.899,8.488,6.312,8.564
106,"15:58:51",7.145,0.286,7.194,2.172,1.962,7.751,9.325,5.171,4.847,6.954
80,"15:58:51",1.564,1.858,2.315,3.082,7.523,4.776,0.227,0.032,6.293,9.610
48,"15:58:51",3.009,9.636,4.395,5.398,3.838,0.338,5.150,9.661,5.153,8.664
