"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
67,"16:07:30",5.996,8.595,1.091,-16.169,8.698,15.100,0.510,5.394,2.633,3.757
83,"16:07:30",1.712,4.920,7.199,-7.628,9.912,11.541,6.332,8.494,3.588,8.341
180,"16:07:30",2.902,1.311,2.657,-12.200,6.834,14.562,4.732,5.480,5.111,6.120
45,"16:07:30",3.723,9.076,6.742,-13.482,6.257,17.114,8.256,8.055,9.970,3.366
102,"16:07:30",9.161,5.445,0.959,-9.849,3.658,13.514,1.245,9.015,5.966,3.140
0,"16:07:30",9.662,5.587,2.213,-16.612,3.039,14.214,0.050,8.404,7.679,5.311
3,"16:07:30",0.704,1.985,8.485,-11.287,3.087,18.418,9.085,0.178,6.593,8.374
162,"16:07:30",7.789,8.985,4.634,-7.071,7.860,16.358,7.817,5.803,0.367,4.760
144,"16:07:30",5.359,8.969,0.638,-10.279,5.813,17.703,3.194,0.217,5.487,3.791
80,"16:07:30",8.121,5.204,4.577,-12.114,7.802,18.025,0.287,8.511,3.183,2.146
