"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
41,"15:39:23",8.212,4.754,7.449,8.383,8.967,6.830,0.830,2.840,4.248,0.525
140,"15:39:23",1.844,6.698,9.570,6.384,4.056,5.505,9.869,3.659,4.299,6.894
182,"15:39:23",5.789,3.030,5.075,4.074,9.132,7.251,2.119,4.835,6.311,2.857
107,"15:39:23",4.610,7.957,0.531,7.840,1.247,6.496,5.996,7.289,0.636,2.111
68,"15:39:23",1.613,1.983,2.618,5.431,2.161,2.213,1.399,6.929,1.314,9.753
95,"15:39:23",5.515,8.658,1.735,6.017,6.939,7.375,4.849,4.072,2.762,8.566
10,"15:39:23",3.016,7.744,1.156,5.315,2.979,0.717,8.230,9.964,2.595,0.725
130,"15:39:23",6.081,7.183,8.350,6.547,0.153,2.040,4.051,0.530,1.979,1.505
183,"15:39:23",9.190,9.610,3.702,3.024,9.984,0.962,1.987,5.009,0.209,4.672
176,"15:39:23",5.819,4.601,5.450,1.483,3.145,5.697,2.991,6.797,6.291,8.613
