"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
197,"15:39:52",5.277,9.465,8.462,4.007,7.355,4.606,3.659,4.539,7.546,3.981
144,"15:39:52",5.688,8.651,7.657,1.711,8.5,9.91,5.416,6.023,1.345,5.035
2,"15:39:52",0.912,5.639,5.077,1.491,3.266,4.267,0.77,1.382,7.682,7.237
158,"15:39:52",0.643,5.249,7.343,7.085,4.097,8.361,2.474,1.609,6.785,5.713
12,"15:39:52",9.577,5.508,6.03,3.498,9.906,2.35,2.853,0.494,1.047,3.387
29,"15:39:52",5.396,0.205,2.319,0.957,8.311,2.08,7.241,0.986,9.549,1.624
137,"15:39:52",0.4,5.505,9.983,7.185,8.777,1.849,4.553,6.116,3.65,0.236
71,"15:39:52",0.942,0.084,2.987,1.642,8.12,6.543,4.452,6.999,1.66,5.369
10,"15:39:52",4.02,9.838,6.02,1.732,9.449,0.565,0.85,1.046,8.308,4.379
108,"15:39:52",0.022,4.797,0.998,3.619,4.804,0.707,1.303,3.827,8.723,3.206
