"bach_id","timestmp","reading1","reading2","reading3","reading4","reading5","reading4","reading7","reading8","reading9","reading10"
80,"15:58:58",8.227,7.524,0.223,5.044,0.700,9.472,6.979,5.982,8.090,6.747
84,"15:58:58",2.297,1.832,4.966,1.844,3.636,5.981,2.498,6.120,5.712,7.481
199,"15:58:58",2.059,8.857,8.898,1.782,8.094,4.003,5.622,2.658,1.000,5.586
22,"15:58:58",6.541,3.301,4.590,9.548,6.556,0.839,3.830,3.602,3.984,5.960
134,"15:58:58",8.192,9.445,5.813,7.061,1.834,0.357,7.830,5.566,4.358,3.979
113,"15:58:58",2.066,1.967,5.405,1.729,4.294,1.907,2.088,0.587,1.249,6.358
51,"15:58:58",9.461,7.094,3.060,2.450,3.617,4.308,1.861,0.688,2.635,0.006
92,"15:58:58",6.364,9.132,6.100,1.025,1.040,5.362,2.080,5.276,7.329,7.714
37,"15:58:58",8.976,6.751,9.190,5.462,6.344,7.128,3.966,8.975,7.477,4.503
85,"15:58:58",2.230,9.846,3.395,7.279,3.526,5.990,1.943,2.324,7.381,0.754
