"bach_id","timestmp","reading1","reading2","reading3","reading4","reading5","reading4","reading7","reading8","reading9","reading10"
129,"15:58:54",6.917,8.766,8.341,7.889,3.528,2.084,1.639,5.205,4.852,5.364
166,"15:58:54",1.989,6.496,2.293,5.145,6.165,2.422,5.280,2.273,4.635,3.802
182,"15:58:54",5.646,8.369,8.399,9.883,8.651,0.873,0.317,2.401,1.358,0.972
122,"15:58:54",6.407,7.240,1.683,4.283,1.168,9.930,6.374,2.942,4.874,6.449
156,"15:58:54",8.731,3.538,9.445,4.639,5.648,0.176,7.178,2.805,4.893,4.220
81,"15:58:54",9.116,1.938,0.039,0.645,7.741,0.717,3.510,2.948,9.245,5.898
132,"15:58:54",8.827,9.555,8.330,7.269,4.168,5.292,1.882,5.145,3.307,7.753
58,"15:58:54",2.525,2.648,2.439,0.252,4.424,3.870,3.363,3.787,0.196,1.565
70,"15:58:54",7.598,6.812,0.976,5.531,4.161,1.498,8.972,5.293,1.086,5.993
37,"15:58:54",1.246,9.726,6.824,6.204,5.133,8.474,2.347,5.088,4.679,5.274
