"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
116,"16:07:26",4.685,9.837,9.209,-13.324,1.526,17.712,5.169,4.617,9.394,2.374
165,"16:07:26",1.404,9.584,4.525,-14.327,2.441,17.982,9.115,4.648,2.511,4.663
163,"16:07:26",6.489,0.823,2.159,-14.098,7.390,11.433,9.426,5.223,5.470,1.506
145,"16:07:26",3.589,3.015,3.835,-8.748,0.868,16.205,0.800,7.396,0.861,3.855
124,"16:07:26",9.700,9.538,4.591,-12.272,7.472,13.333,0.593,6.254,6.500,3.381
15,"16:07:26",6.712,5.559,6.847,-7.696,6.487,13.024,1.473,0.765,5.675,4.851
84,"16:07:26",0.069,4.447,3.755,-16.469,3.638,19.401,9.107,4.635,7.265,6.121
128,"16:07:26",3.950,2.502,0.974,-7.844,1.244,14.866,9.100,4.314,3.234,8.612
177,"16:07:26",3.981,9.030,2.423,-10.211,3.630,12.074,8.200,6.536,9.096,5.280
79,"16:07:26",7.138,5.084,8.005,-13.189,9.409,10.509,0.690,1.275,0.482,6.666
