"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
96,"15:39:31",0.834,2.271,1.212,2.693,3.311,1.606,1.510,4.393,0.725,3.291
129,"15:39:31",2.460,7.372,4.918,9.783,8.998,2.624,4.304,1.352,6.453,4.251
122,"15:39:31",8.615,4.006,6.071,7.871,8.019,3.509,2.730,5.347,5.594,2.084
107,"15:39:31",4.879,0.079,6.346,8.371,2.024,8.313,0.909,8.608,8.854,1.133
71,"15:39:31",0.534,3.796,5.355,0.276,4.533,2.575,2.703,2.452,0.245,9.271
159,"15:39:31",1.415,8.715,2.466,8.184,0.045,9.755,2.005,9.351,6.769,9.487
48,"15:39:31",4.285,2.820,0.616,5.679,1.877,8.750,8.187,1.050,1.251,5.231
151,"15:39:31",3.759,0.149,5.671,8.092,3.385,5.025,1.484,3.507,6.245,3.802
70,"15:39:31",1.946,9.488,0.130,2.887,4.351,2.221,1.975,2.372,2.990,1.693
25,"15:39:31",7.786,4.841,8.593,3.633,9.931,0.729,2.184,1.269,1.694,9.573
