"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
169,"15:39:32",6.161,4.460,1.683,9.481,0.104,0.953,5.345,9.587,9.034,3.637
32,"15:39:32",2.536,1.206,5.586,3.958,5.866,8.513,3.608,9.814,1.723,5.170
138,"15:39:32",7.718,1.628,8.696,8.346,5.380,6.792,9.056,2.912,5.504,5.737
132,"15:39:32",2.412,6.594,7.073,4.687,0.871,1.040,5.273,6.273,3.631,3.511
139,"15:39:32",5.399,2.772,4.447,0.881,3.579,7.620,7.865,5.642,0.112,4.211
120,"15:39:32",2.152,3.722,6.307,0.955,9.183,5.052,6.649,8.760,7.269,7.102
116,"15:39:32",4.444,9.705,9.298,1.974,9.239,6.004,8.182,9.936,3.583,8.294
33,"15:39:32",2.219,4.270,4.086,0.785,7.538,0.398,6.163,6.379,8.028,5.339
47,"15:39:32",7.291,4.473,9.684,0.370,9.896,1.129,8.223,0.793,4.588,3.820
37,"15:39:32",0.532,4.871,2.736,3.902,7.029,0.108,4.583,3.078,4.870,8.443
