"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
44,"15:39:29",0.178,7.891,0.271,9.115,9.725,2.912,3.840,4.004,4.106,2.599
170,"15:39:29",2.306,9.703,3.581,1.433,5.263,0.844,5.695,4.429,5.915,2.411
137,"15:39:29",0.409,8.762,0.822,6.922,3.297,6.945,0.077,0.219,5.773,4.777
57,"15:39:29",9.812,7.048,4.892,5.738,4.330,2.859,2.181,3.278,9.299,6.377
182,"15:39:29",0.804,5.843,7.171,9.064,6.440,2.484,2.377,6.071,0.512,9.392
143,"15:39:29",9.940,8.701,4.783,2.642,1.768,9.160,2.716,0.531,5.767,4.257
65,"15:39:29",3.968,9.051,3.251,3.088,7.153,4.242,8.198,3.279,6.587,9.104
34,"15:39:29",6.839,1.907,8.840,2.706,5.077,4.279,2.126,7.763,2.679,0.728
10,"15:39:29",1.257,9.519,1.023,7.921,3.259,4.406,9.478,5.532,9.794,7.438
1,"15:39:29",2.295,4.781,0.307,3.095,5.735,1.971,7.386,7.651,5.344,1.833
