"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
168,"16:07:28",5.340,4.216,0.150,-9.746,5.112,16.406,2.840,5.005,6.014,3.065
124,"16:07:28",1.558,7.252,5.862,-15.977,6.177,19.762,7.724,1.571,3.049,6.502
195,"16:07:28",4.695,6.067,7.408,-13.149,2.112,17.997,2.079,0.351,5.291,8.813
196,"16:07:28",8.656,6.045,5.288,-16.115,8.563,11.659,9.528,2.726,0.416,8.610
13,"16:07:28",9.430,7.492,2.775,-11.061,5.565,13.424,0.919,2.634,6.233,3.260
184,"16:07:28",8.187,5.573,4.530,-12.154,4.763,13.619,0.762,9.584,6.677,0.081
67,"16:07:28",0.387,8.216,1.120,-13.878,8.362,13.910,9.096,2.406,1.929,2.248
45,"16:07:28",0.870,0.744,7.804,-12.457,9.552,15.612,8.458,0.059,6.801,1.686
84,"16:07:28",4.670,9.000,1.530,-15.245,4.722,19.889,0.698,3.377,2.291,9.535
56,"16:07:28",2.630,5.144,6.291,-12.652,3.606,19.267,5.488,4.893,6.832,4.406
