"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
119,"16:07:32",6.651,2.974,2.032,-12.592,2.284,13.794,8.180,5.782,9.252,4.448
42,"16:07:32",1.866,2.589,8.536,-9.278,3.647,13.321,4.941,5.418,4.126,0.181
165,"16:07:32",1.108,6.555,7.906,-11.251,1.555,11.127,7.384,0.608,4.932,3.427
95,"16:07:32",8.790,2.106,8.196,-10.849,3.951,12.568,6.985,3.385,9.525,8.121
191,"16:07:32",8.891,3.398,9.143,-8.638,1.751,13.605,1.570,5.396,5.699,3.019
16,"16:07:32",1.137,5.601,9.896,-11.071,1.316,14.809,9.339,7.224,8.680,0.542
139,"16:07:32",1.021,5.754,5.850,-8.697,7.811,12.926,9.074,7.949,1.257,4.501
79,"16:07:32",4.709,7.227,1.465,-11.685,6.168,17.105,7.175,1.547,3.934,7.835
51,"16:07:32",6.048,8.939,9.745,-15.313,6.905,15.518,5.691,7.058,8.682,8.045
104,"16:07:32",3.613,5.264,2.863,-11.577,1.998,16.783,5.085,2.129,9.534,9.886
