"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
165,"16:07:22",3.374,1.079,7.328,-10.478,4.354,10.324,9.829,3.840,6.156,0.991
47,"16:07:22",1.096,4.247,1.851,-11.027,4.970,14.423,1.897,0.801,1.433,0.984
193,"16:07:22",0.076,0.335,1.661,-15.997,7.947,18.303,4.121,4.967,5.828,6.893
45,"16:07:22",3.455,6.954,0.927,-14.013,5.480,15.297,3.344,6.736,1.752,4.344
99,"16:07:22",0.239,3.632,8.222,-14.694,1.286,13.152,9.941,3.492,7.035,3.622
183,"16:07:22",3.762,5.530,1.481,-8.779,9.934,11.834,2.895,3.126,3.672,4.390
12,"16:07:22",9.434,6.908,9.025,-11.651,4.189,10.385,9.128,9.092,7.937,3.868
94,"16:07:22",0.111,6.019,7.313,-8.616,4.629,13.374,0.383,2.826,6.101,2.463
57,"16:07:22",2.603,9.091,4.209,-10.143,1.447,16.444,3.207,2.854,2.705,6.770
31,"16:07:22",6.154,4.964,1.433,-14.264,1.016,12.993,1.094,4.039,7.780,1.187
