"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
191,"16:07:23",8.702,3.268,7.798,-13.689,1.147,19.671,3.664,9.035,4.465,1.337
150,"16:07:23",1.173,8.081,2.520,-16.852,1.838,10.313,1.202,9.263,6.703,1.904
9,"16:07:23",9.179,7.957,4.285,-15.522,5.308,11.586,0.447,2.531,5.739,0.546
70,"16:07:23",0.988,3.469,1.654,-7.697,4.327,18.024,7.708,4.401,6.529,6.721
167,"16:07:23",5.105,2.609,7.314,-14.089,0.332,18.197,5.104,6.683,6.901,8.561
192,"16:07:23",4.499,0.538,5.323,-16.008,9.072,17.131,7.539,2.535,4.173,2.005
80,"16:07:23",9.593,3.793,7.708,-15.355,1.551,17.639,9.123,7.978,0.269,6.932
129,"16:07:23",8.571,0.140,5.729,-15.923,8.782,18.747,5.062,5.698,7.884,4.000
187,"16:07:23",7.947,4.076,3.762,-12.660,6.993,15.352,9.455,1.275,4.303,8.898
43,"16:07:23",8.900,4.994,5.576,-13.995,8.115,12.372,3.493,5.848,0.956,0.057
